Birey_ID,Tarihlendirme(GÖ),Okuma_Derinliği,Kültür,Gruplar,Country,Publication,Enlem,Boylam,Veri_Tipi,Cinsiyet,Ind_type
I5743,4927,0.156486,TUR_BlackSea_Amasya_EBA,Neolitik Sonrası,Turkey,LazaridisScience2022,40.69,35.56,1240K,F,Antik
I5742,4935,0.193977,TUR_BlackSea_Amasya_EBA,Neolitik Sonrası,Turkey,LazaridisScience2022,40.69,35.56,1240K,F,Antik
I4614,4940,0.0158872,TUR_SE_Şırnak_BA,Neolitik Sonrası,Turkey,LazaridisScience2022,37.5432,41.8662,1240K,M,Antik
I4615,4945,0.104156,TUR_SE_Şırnak_BA,Neolitik Sonrası,Turkey,LazaridisScience2022,37.5432,41.8662,1240K,M,Antik
ulu117,5020,0.343337,Anatolia_Ulucak_BA,Neolitik Sonrası,Turkey,KoptekinCurrentBiology2023,38.48,27.35,Rastgele dizileme,F,Antik
ART012,5051,0.100672,Arslantepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,38.381944,38.361111,1240K,F,Antik
IKI002,5115,0.0035319,İkiztepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,41.6136944,35.8711361,1240K,F,Antik
ART026,5116,0.144547,Arslantepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,38.381944,38.361111,1240K,F,Antik
I5741,5116,0.0225603,TUR_BlackSea_Amasya_EBA,Neolitik Sonrası,Turkey,LazaridisScience2022,40.69,35.56,1240K,F,Antik
I4480,5122,0.0162057,TUR_SE_Şırnak_ChL_C,Neolitik Sonrası,Turkey,LazaridisScience2022,37.5432,41.8662,1240K,F,Antik
I4483,5122,0.0409131,TUR_SE_Şırnak_ChL_A,Neolitik Sonrası,Turkey,LazaridisScience2022,37.5432,41.8662,1240K,M,Antik
ART017,5123,0.0549245,Arslantepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,38.381944,38.361111,1240K,M,Antik
ART020,5125,0.141247,Arslantepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,38.381944,38.361111,1240K,M,Antik
ART038,5125,0.0184981,Arslantepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,38.381944,38.361111,1240K,M,Antik
ART027,5128,0.0807347,Arslantepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,38.381944,38.361111,1240K,M,Antik
ART015,5130,0.240067,Arslantepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,38.381944,38.361111,1240K,M,Antik
IKI009,5135,0.00400366,İkiztepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,41.6136944,35.8711361,1240K,F,Antik
ART023,5137,0.0236554,Arslantepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,38.381944,38.361111,1240K,M,Antik
IKI012,5138,0.00559633,İkiztepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,41.6136944,35.8711361,1240K,F,Antik
ART014,5139,0.06563,Arslantepe_LC,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,38.381944,38.361111,1240K,M,Antik
